I,Q
-0.73584,-0.5961
-0.88038,0.60646
0.3361,1.2702
-0.72893,0.65393
-0.80702,-0.69269
-0.31418,0.31185
0.24618,0.69443
1.2787,0.54013
-0.022772,0.94951
-0.86909,0.22578
-0.28758,0.51247
0.81573,0.76655
0.99929,0.32296
-0.31479,0.69804
-0.44581,-0.56682
-0.61871,-0.8476
-0.83508,0.73957
-0.5558,0.16701
-0.31304,-0.72166
0.77742,-0.74112
0.24491,-0.83477
-0.96763,-0.25089
-0.37678,-0.39571
0.40137,-0.70371
0.8052,0.59403
0.92933,0.79625
1.3046,-0.28634
0.69657,0.35436
-0.42533,0.45253
0.10502,-0.92515
-0.18024,-1.102
-1.0555,-0.82444
0.31205,-0.95207
1.1199,0.050148
-0.072587,1.2321
0.212,1.0771
0.93429,0.68218
-0.31013,0.24369
-0.18779,-0.51513
1.1597,-0.61249
0.44623,-1.0232
0.028054,-1.2794
0.70209,-0.043823
0.35113,0.50455
-0.56091,0.84316
0.33671,0.6965
1.2742,-0.071399
0.5577,0.56872
-0.19026,0.5732
-1.0896,-0.031393
-0.18216,0.84683
0.51193,0.98261
-0.80508,0.11084
0.14057,-0.70833
0.353,-1.1484
-0.51867,-0.42643
-0.62439,0.4627
-0.97068,-0.20278
0.2177,-1.2069
0.059945,-0.8134
-0.64525,-0.17666
-0.009677,0.82008
-0.72989,0.62135
-0.81612,-1.0528
-0.56063,-0.30705
0.31951,0.18459
0.57195,0.53607
0.55443,0.99663
0.91603,0.57711
-0.24484,-0.45935
-0.72324,-0.55357
-0.34861,0.61048
-0.27919,0.48748
-0.50109,-0.055434
0.17646,0.023484
1.0792,0.4587
0.77998,-0.07388
0.63095,-0.56332
0.83773,0.63182
-0.29822,0.081072
-0.98188,-0.78052
0.34453,0.71684
0.20499,0.79693
-0.61189,-0.75803
0.48764,-0.73267
0.51277,-0.54352
-0.26273,-1.1539
-0.05017,-0.51913
-0.022219,0.48506
-0.40822,0.32024
-0.83413,0.16953
0.048846,0.72389
0.62222,0.64896
-0.12075,-0.70717
-0.66339,-0.94621
-0.70835,-0.55385
0.2211,-0.81288
0.15107,-0.18088
-0.65944,-0.52702
-0.65733,0.061312
-0.64968,1.2877
-0.14308,-0.44249
-0.42005,0.030369
-1.1075,1.2906
-0.89684,0.5686
-0.53769,0.41105
0.73797,-0.81512
1.1105,-0.73373
-0.32451,0.75331
-1.1601,-0.24974
-0.81055,-0.78772
0.53455,-0.73776
1.2126,-1.0788
0.88327,-1.2972
0.66769,-0.98555
0.79862,0.35498
0.75427,1.1342
-0.50532,0.81645
0.03114,-0.7728
0.9729,-1.1875
-0.095355,0.29635
-0.27495,0.81615
-0.92001,1.1794
-0.52703,0.86031
0.64319,-0.069012
-0.8209,0.7355
-0.48663,0.76303
0.73013,0.60848
0.17825,0.16273
0.61436,-0.53313
0.70408,0.301
0.86823,0.66012
1.0349,0.19173
-0.42599,-0.36501
-0.88516,-0.20937
-0.11815,0.6958
-0.039707,0.61901
-0.4784,0.1269
0.095305,-0.036823
1.1647,0.053867
0.70108,-0.36346
0.35745,-0.82619
1.0575,0.20018
-0.28199,0.11096
-1.028,-0.51695
-0.55952,0.037035
0.53214,-0.38768
0.57709,-0.19925
-0.45053,-0.32563
0.37343,0.014124
0.20431,0.57775
-0.18182,0.17379
-0.95757,0.89044
-0.80503,1.0859
0.78305,-0.54899
0.43272,-0.52646
-0.32983,-0.71857
-1.0553,-1.1455
-1.3423,0.33072
-0.3332,0.4107
-0.13442,0.068391
0.0076779,0.17783
-0.056503,0.28705
0.34989,1.2394
1.495,0.40397
1.0488,-0.35679
0.2444,-0.38898
-0.081555,-1.1607
-0.25208,0.62836
-0.026264,1.6362
0.072171,0.4946
-0.36426,0.28726
-0.54585,-0.19265
0.46566,-0.027884
0.070129,-0.12738
-0.3711,-0.91729
0.63959,0.41835
0.95284,0.19363
1.2166,-1.0349
0.86826,-0.14281
0.39845,-0.057854
0.89569,-0.36079
0.41716,0.46035
-0.59935,0.56938
-0.90835,-1.0575
0.71173,-1.4184
1.4901,-0.14882
-0.30607,0.30925
-0.41604,0.79353
-0.060685,0.67193
-0.26245,0.22211
-0.083412,0.94528
-0.061055,0.42048
0.048573,0.10103
-0.26628,0.97068
0.12199,0.42305
-0.055433,0.41966
-0.20329,0.92513
0.30664,0.57239
-0.99644,-0.3245
-0.71011,-1.5073
1.1604,-1.088
0.73013,0.5625
